street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon,neighborhood
Van Walbeeckstraat,107-h,https://www.funda.nl/detail/koop/amsterdam/appartement-van-walbeeckstraat-107-h/43932245/,64,500000.0,7812.5,Amsterdam,Netherlands,"Van Walbeeckstraat 107-h, Amsterdam, Netherlands",52.3630484,4.8507413,baarsjes
Jacob Van Lennepstraat,35-1a,https://www.funda.nl/detail/koop/amsterdam/appartement-jacob-van-lennepstraat-35-1a/43938576/,34,350000.0,10294.12,Amsterdam,Netherlands,"Jacob Van Lennepstraat 35-1a, Amsterdam, Netherlands",52.3666336,4.8748953,amsterdam-west
Van Beuningenstraat,162-3,https://www.funda.nl/detail/koop/amsterdam/appartement-van-beuningenstraat-162-3/43938461/,51,435000.0,8529.41,Amsterdam,Netherlands,"Van Beuningenstraat 162-3, Amsterdam, Netherlands",52.3819229,4.8730294,staatsliedenbuurt
Crynssenstraat,66-2,https://www.funda.nl/detail/koop/amsterdam/appartement-crynssenstraat-66-2/43937376/,51,450000.0,8823.53,Amsterdam,Netherlands,"Crynssenstraat 66-2, Amsterdam, Netherlands",52.3633254,4.856347,baarsjes
Juliana Van Stolbergstraat,56-2,https://www.funda.nl/detail/koop/amsterdam/appartement-juliana-van-stolbergstraat-56-2/43937588/,53,415000.0,7830.19,Amsterdam,Netherlands,"Juliana Van Stolbergstraat 56-2, Amsterdam, Netherlands",52.3809767,4.8562088,bos en lommer
Nassaukade,153-e,https://www.funda.nl/detail/koop/amsterdam/appartement-nassaukade-153-e/43935347/,28,350000.0,12500.0,Amsterdam,Netherlands,"Nassaukade 153-e, Amsterdam, Netherlands",52.3714726,4.8740142,amsterdam-west
Hoofdweg,371-3,https://www.funda.nl/detail/koop/amsterdam/appartement-hoofdweg-371-3/43935379/,57,450000.0,7894.74,Amsterdam,Netherlands,"Hoofdweg 371-3, Amsterdam, Netherlands",52.3716693,4.8491541,erasmusbuurt
Lange Leidsedwarsstraat,25-2,https://www.funda.nl/detail/koop/amsterdam/appartement-lange-leidsedwarsstraat-25-2/43923689/,42,375000.0,8928.57,Amsterdam,Netherlands,"Lange Leidsedwarsstraat 25-2, Amsterdam, Netherlands",52.364319,4.8842009,Unknown
Esmoreitstraat,31-3,https://www.funda.nl/detail/koop/amsterdam/appartement-esmoreitstraat-31-3/43929907/,66,500000.0,7575.76,Amsterdam,Netherlands,"Esmoreitstraat 31-3, Amsterdam, Netherlands",52.3776023,4.8513585,bos en lommer
Spaarndammerstraat,45-4,https://www.funda.nl/detail/koop/amsterdam/appartement-spaarndammerstraat-45-4/43929542/,56,475000.0,8482.14,Amsterdam,Netherlands,"Spaarndammerstraat 45-4, Amsterdam, Netherlands",52.3888729,4.8795793,spaarndammerbuurt
Lanseloetstraat,24-1,https://www.funda.nl/detail/koop/amsterdam/appartement-lanseloetstraat-24-1/43914902/,50,425000.0,8500.0,Amsterdam,Netherlands,"Lanseloetstraat 24-1, Amsterdam, Netherlands",52.377057,4.8500144,bos en lommer
Nachtwachtlaan,241,https://www.funda.nl/detail/koop/amsterdam/appartement-nachtwachtlaan-241/43912955/,58,415000.0,7155.17,Amsterdam,Netherlands,"Nachtwachtlaan 241, Amsterdam, Netherlands",52.362457,4.8432617,baarsjes
Burgemeester Cramergracht,76,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-cramergracht-76/43910089/,76,459000.0,6039.47,Amsterdam,Netherlands,"Burgemeester Cramergracht 76, Amsterdam, Netherlands",52.3731472,4.8324402,Unknown
Warmondstraat,61-3,https://www.funda.nl/detail/koop/amsterdam/appartement-warmondstraat-61-3/43919298/,49,475000.0,9693.88,Amsterdam,Netherlands,"Warmondstraat 61-3, Amsterdam, Netherlands",52.3565723,4.8496021,hoofddroppleinbuurt
