street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon,neighborhood,indeling_kamers,indeling_badkamers,indeling_voorzieningen,indeling_woonlagen,indeling_verdieping,indeling_energielabel,indeling_isolatie,indeling_verwarming,indeling_warm_water,kadaster_eigendomssituatie,kadaster_lasten,listing_data_soort_appartement,listing_data_soort_bouw,listing_data_bouwjaar,listing_data_soort_dak,listing_data_gebouwgebonden_buitenruimte_m2,listing_data_externe_bergruimte_m2,listing_data_inhoud_m3,overdracht_vraagprijs,overdracht_prijs_per_m2,overdracht_aangeboden_sinds,overdracht_status,overdracht_aanvaarding,overdracht_servicekosten,energy_label,surface_gebouwgebonden_buitenruimte_m2,surface_externe_bergruimte_m2,surface_inhoud_m3,aangeboden_date,servicekosten_num,has_berging,has_balkon,kadaster_lasten_price,kadaster_lasten_year,eigendom_year,woonlaag_num,num_kamers,num_badkamers,woonlagen_num,beschikbaar
Elandsgracht,98-2,https://www.funda.nl/detail/koop/amsterdam/appartement-elandsgracht-98-2/43946020/,59,495000,8389.83,Amsterdam,Netherlands,"Elandsgracht 98-2, Amsterdam, Netherlands",52.3695313,4.8798687,jordaan,1 badkamer,,TV kabel,1 woonlaag,1e woonlaag,CWat betekent dit?,,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1931,,6.0,,193.0,€ 495.000 kosten koper,€ 8.390,3 juni 2025,Beschikbaar,In overleg,,C,6.0,,193.0,2025-06-03,,False,True,,,9999,1.0,,1,1,True
Postjeskade,135-1,https://www.funda.nl/detail/koop/amsterdam/appartement-postjeskade-135-1/43933181/,59,495000,8389.83,Amsterdam,Netherlands,"Postjeskade 135-1, Amsterdam, Netherlands",52.3620844,4.850225,baarsjes,1 badkamer,,TV kabel,1 woonlaag,,DWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1935,,7.0,,196.0,€ 495.000 kosten koper,€ 8.390,2 weken,Beschikbaar,In overleg,,D,7.0,,196.0,2025-06-03,,False,True,,,9999,,,1,1,True
Potgieterstraat,53-1,https://www.funda.nl/detail/koop/amsterdam/appartement-potgieterstraat-53-1/43054540/,50,420000,8400.0,Amsterdam,Netherlands,"Potgieterstraat 53-1, Amsterdam, Netherlands",52.3690564,4.8719306,amsterdam-west,1 badkamer,,Douche en toilet,1 woonlaag,2e woonlaag,BWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1890,,2.0,,170.0,€ 420.000 kosten koper,€ 8.400,15 juni 2025,Beschikbaar,In overleg,"€ 60,75 per maand",B,2.0,,170.0,2025-06-15,60.75,False,True,,,9999,2.0,,1,1,True
Eerste Helmersstraat,29-2,https://www.funda.nl/detail/koop/amsterdam/appartement-eerste-helmersstraat-29-2/43921986/,57,479000,8403.51,Amsterdam,Netherlands,"Eerste Helmersstraat 29-2, Amsterdam, Netherlands",52.3637194,4.8764558,amsterdam-west,1 apart toilet,,,1 woonlaag,2e woonlaag,CWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1905,,8.0,,201.0,€ 479.000 kosten koper,€ 8.404,3 weken,,In overleg,"€ 116,15 per maand",C,8.0,,201.0,2025-05-27,116.15,False,True,,,9999,2.0,,0,1,False
Langestraat,54-b,https://www.funda.nl/detail/koop/amsterdam/appartement-langestraat-54-b/43990045/,47,395000,8404.26,Amsterdam,Netherlands,"Langestraat 54-b, Amsterdam, Netherlands",52.3778857,4.8916395,centrum,1 badkamer,,Natuurlijke ventilatie en TV kabel,1 woonlaag,1e woonlaag,Niet verplicht,,Cv-ketel,Cv-ketel,Volle eigendom,,Tussenverdieping (appartement),Bestaande bouw,1842,Samengesteld dak bedekt met pannen,,,172.0,€ 395.000 kosten koper,€ 8.404,6 weken,,In overleg,,Niet verplicht,,,172.0,2025-05-06,,False,False,,,9999,1.0,,1,1,False
Van Der Duijnstraat,37,https://www.funda.nl/detail/koop/amsterdam/appartement-van-der-duijnstraat-37/43902261/,38,320000,8421.05,Amsterdam,Netherlands,"Van Der Duijnstraat 37, Amsterdam, Netherlands",52.38453,4.8773912,staatsliedenbuurt,1 badkamer en 1 apart toilet,,Mechanische ventilatie en TV kabel,1 woonlaag,2e woonlaag,DWat betekent dit?,,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-06-2032),Afgekocht tot 30-06-2032,Bovenwoning (appartement),Bestaande bouw,1981,Plat dak bedekt met bitumineuze dakbedekking,,4.0,125.0,€ 320.000 kosten koper,€ 8.421,5 weken,,In overleg,"€ 93,50 per maand",D,,4.0,125.0,2025-05-13,93.5,True,False,0.0,2032.0,2032,2.0,,1,1,False
Rinus Michelslaan,199,https://www.funda.nl/detail/koop/amsterdam/appartement-rinus-michelslaan-199/43913578/,51,430000,8431.37,Amsterdam,Netherlands,"Rinus Michelslaan 199, Amsterdam, Netherlands",52.3732211,4.8385406,slotervaart,2 kamers (1 slaapkamer),,Mechanische ventilatie,1 woonlaag,2e woonlaag,AWat betekent dit?,Dubbel glas en volledig geïsoleerd,"Stadsverwarming, gehele vloerverwarming en warmte terugwininstallatie",Stadsverwarming,Eigendom belast met erfpacht (einddatum erfpacht: 30-09-2066),"€ 442,00 per jaar",Bovenwoning (appartement),Bestaande bouw,2021,,4.0,5.0,168.0,€ 430.000 kosten koper,€ 8.431,4 weken,,In overleg,"€ 99,67 per maand",A,4.0,5.0,168.0,2025-05-20,99.67,True,True,442.0,,2066,2.0,2,0,1,False
Hertspieghelweg,16-3,https://www.funda.nl/detail/koop/amsterdam/appartement-hertspieghelweg-16-3/43961806/,49,415000,8469.39,Amsterdam,Netherlands,"Hertspieghelweg 16-3, Amsterdam, Netherlands",52.3803927,4.8522656,bos en lommer,1 badkamer,,"Mechanische ventilatie, natuurlijke ventilatie, en TV kabel",1 woonlaag,3e woonlaag,EWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-08-2055),Afgekocht tot 31-08-2055,Bovenwoning (appartement),Bestaande bouw,1950,Plat dak,3.0,11.0,152.0,€ 415.000 kosten koper,€ 8.469,2 maanden,,In overleg,"€ 161,67 per maand",E,3.0,11.0,152.0,2025-04-17,161.67,True,True,0.0,2055.0,2055,3.0,,1,1,False
Spaarndammerstraat,18-d,https://www.funda.nl/detail/koop/amsterdam/appartement-spaarndammerstraat-18-d/43948178/,49,415000,8469.39,Amsterdam,Netherlands,"Spaarndammerstraat 18-d, Amsterdam, Netherlands",52.3868588,4.8818299,spaarndammerbuurt,1 badkamer,,Natuurlijke ventilatie en TV kabel,2 woonlagen,3e woonlaag,EWat betekent dit?,Dubbel glas en vloerisolatie,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-09-2054),Afgekocht tot 30-09-2054,Bovenwoning (appartement),Bestaande bouw,1909,Plat dak bedekt met bitumineuze dakbedekking,3.0,7.0,162.0,€ 415.000 kosten koper,€ 8.469,4 juni 2025,Beschikbaar,In overleg,,E,3.0,7.0,162.0,2025-06-04,,True,True,0.0,2054.0,2054,3.0,,1,,True
Marnixkade,27-2,https://www.funda.nl/detail/koop/amsterdam/appartement-marnixkade-27-2/43056984/,59,500000,8474.58,Amsterdam,Netherlands,"Marnixkade 27-2, Amsterdam, Netherlands",52.3823797,4.8810584,jordaan,1 badkamer en 1 apart toilet,,Mechanische ventilatie en TV kabel,1 woonlaag,2e woonlaag,BWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Portiekwoning (appartement),Bestaande bouw,1890,Samengesteld dak bedekt met bitumineuze dakbedekking,,,192.0,€ 500.000 kosten koper,€ 8.475,10 juni 2025,Beschikbaar,In overleg,,B,,,192.0,2025-06-10,,False,False,,,9999,2.0,,1,1,True
Tweede Helmersstraat,41-h,https://www.funda.nl/detail/koop/amsterdam/appartement-tweede-helmersstraat-41-h/43920734/,59,500000,8474.58,Amsterdam,Netherlands,"Tweede Helmersstraat 41-h, Amsterdam, Netherlands",52.3643763,4.876625,amsterdam-west,1 badkamer en 1 apart toilet,,Ligbad en wastafel,1 woonlaag,Begane grond,DWat betekent dit?,,Cv-ketel,Cv-ketel,Volle eigendom,,Benedenwoning (appartement),Bestaande bouw,1926,Plat dak,2.0,7.0,233.0,€ 500.000 kosten koper,€ 8.475,3 weken,,In overleg,"€ 100,00 per maand",D,2.0,7.0,233.0,2025-05-27,100.0,True,True,,,9999,0.0,,1,1,False
Vespuccistraat,99-1,https://www.funda.nl/detail/koop/amsterdam/appartement-vespuccistraat-99-1/43933315/,59,500000,8474.58,Amsterdam,Netherlands,"Vespuccistraat 99-1, Amsterdam, Netherlands",52.3725388,4.8525948,erasmusbuurt,1 badkamer en 1 apart toilet,,,1 woonlaag,1e woonlaag,Niet beschikbaar,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1925,,7.0,,200.0,€ 500.000 kosten koper,€ 8.475,2 weken,Beschikbaar,In overleg,"€ 120,00 per maand",Niet beschikbaar,7.0,,200.0,2025-06-03,120.0,False,True,,,9999,1.0,,1,1,True
Spaarndammerstraat,45-4,https://www.funda.nl/detail/koop/amsterdam/appartement-spaarndammerstraat-45-4/43929542/,56,475000,8482.14,Amsterdam,Netherlands,"Spaarndammerstraat 45-4, Amsterdam, Netherlands",52.3888729,4.8795793,spaarndammerbuurt,2 badkamers,,Mechanische ventilatie en TV kabel,1 woonlaag,4e woonlaag,AWat betekent dit?,"Dakisolatie, dubbel glas en vloerisolatie",Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1880,Samengesteld dak bedekt met bitumineuze dakbedekking en overig,,,182.0,€ 475.000 kosten koper,€ 8.482,3 weken,Beschikbaar,In overleg,"€ 100,00 per maand",A,,,182.0,2025-05-27,100.0,False,False,,,9999,4.0,,2,1,True
Curacaostraat,76-2,https://www.funda.nl/detail/koop/amsterdam/appartement-curacaostraat-76-2/43981029/,56,475000,8482.14,Amsterdam,Netherlands,"Curacaostraat 76-2, Amsterdam, Netherlands",52.3611588,4.8522477,baarsjes,1 badkamer,,"Douche, toilet, en wastafel",1 woonlaag,2e woonlaag,CWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1935,Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6.0,10.0,188.0,€ 475.000 kosten koper,€ 8.482,7 weken,,In overleg,"€ 94,00 per maand",C,6.0,10.0,188.0,2025-04-29,94.0,True,True,,,9999,2.0,,1,1,False
Orteliusstraat,321-3,https://www.funda.nl/detail/koop/amsterdam/appartement-orteliusstraat-321-3/43930510/,56,475000,8482.14,Amsterdam,Netherlands,"Orteliusstraat 321-3, Amsterdam, Netherlands",52.3734955,4.8471493,erasmusbuurt,3 kamers (2 slaapkamers),,Airconditioning,1 woonlaag,3e woonlaag,EWat betekent dit?,Dubbel glas,Cv-ketel,,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1932,Samengesteld dak,27.0,,207.0,€ 475.000 kosten koper,€ 8.482,2 weken,,In overleg,"€ 84,10 per maand",E,27.0,,207.0,2025-06-03,84.1,False,True,,,9999,3.0,3,0,1,False
Bloys Van Treslongstraat,21-h,https://www.funda.nl/detail/koop/amsterdam/appartement-bloys-van-treslongstraat-21-h/43904140/,56,475000,8482.14,Amsterdam,Netherlands,"Bloys Van Treslongstraat 21-h, Amsterdam, Netherlands",52.3755978,4.8613842,erasmusbuurt,1 badkamer,,Douche en toilet,1 woonlaag,Begane grond,CWat betekent dit?,,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht,Eeuwigdurend afgekocht,Benedenwoning (appartement),Bestaande bouw,1935,Samengesteld dak,,7.0,219.0,€ 475.000 kosten koper,€ 8.482,5 weken,,In overleg,"€ 80,00 per maand",C,,7.0,219.0,2025-05-13,80.0,True,False,0.0,2099.0,0,0.0,,1,1,False
Van Boetzelaerstraat,42-1,https://www.funda.nl/detail/koop/amsterdam/appartement-van-boetzelaerstraat-42-1/43926893/,53,450000,8490.57,Amsterdam,Netherlands,"Van Boetzelaerstraat 42-1, Amsterdam, Netherlands",52.3826169,4.8735356,staatsliedenbuurt,1 badkamer,,Natuurlijke ventilatie en TV kabel,1 woonlaag,1e woonlaag,CWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Portiekwoning (appartement),Bestaande bouw,1915,Plat dak bedekt met bitumineuze dakbedekking,4.0,12.0,177.0,€ 450.000 kosten koper,€ 8.491,4 weken,Beschikbaar,In overleg,,C,4.0,12.0,177.0,2025-05-20,,True,True,,,9999,1.0,,1,1,True
Juliana Van Stolbergstraat,52-3,https://www.funda.nl/detail/koop/amsterdam/appartement-juliana-van-stolbergstraat-52-3/43917724/,53,450000,8490.57,Amsterdam,Netherlands,"Juliana Van Stolbergstraat 52-3, Amsterdam, Netherlands",52.3810492,4.8563253,bos en lommer,1 badkamer,,Mechanische ventilatie en TV kabel,1 woonlaag en een zolder,3e woonlaag,GWat betekent dit?,,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,Bovenwoning (appartement),Bestaande bouw,1934,Samengesteld dak bedekt met bitumineuze dakbedekking,6.0,11.0,170.0,€ 450.000 kosten koper,€ 8.491,4 weken,,In overleg,"€ 112,20 per maand",G,6.0,11.0,170.0,2025-05-20,112.2,True,True,0.0,2099.0,0,3.0,,1,1,False
Wilhelminastraat,189-2,https://www.funda.nl/detail/koop/amsterdam/appartement-wilhelminastraat-189-2/43905917/,53,450000,8490.57,Amsterdam,Netherlands,"Wilhelminastraat 189-2, Amsterdam, Netherlands",52.3604339,4.85898,amsterdam-west,1 badkamer,,Frans balkon en mechanische ventilatie,1 woonlaag,2e woonlaag,FWat betekent dit?,Vloerisolatie,Cv-ketel,Cv-ketel,Volle eigendom,,Tussenverdieping (appartement),Bestaande bouw,1906,Plat dak bedekt met bitumineuze dakbedekking,6.0,,187.0,€ 450.000 kosten koper,€ 8.491,6 weken,,In overleg,"€ 86,00 per maand",F,6.0,,187.0,2025-05-06,86.0,False,True,,,9999,2.0,,1,1,False
Marco Polostraat,274-2,https://www.funda.nl/detail/koop/amsterdam/appartement-marco-polostraat-274-2/43927031/,53,450000,8490.57,Amsterdam,Netherlands,"Marco Polostraat 274-2, Amsterdam, Netherlands",52.3723972,4.8550784,erasmusbuurt,3 kamers (2 slaapkamers),,,1 woonlaag,2e woonlaag,DWat betekent dit?,,Cv-ketel,Cv-ketel,Erfpacht,,Bovenwoning (appartement),Bestaande bouw,1926,,6.0,,184.0,€ 450.000 kosten koper,€ 8.491,4 weken,,Per direct beschikbaar,"€ 127,55 per maand",D,6.0,,184.0,2025-05-20,127.55,False,True,,,0,2.0,3,0,1,False
Postjesweg,116-3,https://www.funda.nl/detail/koop/amsterdam/appartement-postjesweg-116-3/43927184/,53,450000,8490.57,Amsterdam,Netherlands,"Postjesweg 116-3, Amsterdam, Netherlands",52.3644376,4.8517821,baarsjes,3 kamers (2 slaapkamers),,,1 woonlaag,3e woonlaag,DWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Erfpacht,"€ 396,77 per jaar",Bovenwoning (appartement),Bestaande bouw,1931,,7.0,,175.0,€ 450.000 kosten koper,€ 8.491,4 weken,,In overleg,"€ 100,00 per maand",D,7.0,,175.0,2025-05-20,100.0,False,True,396.77,,0,3.0,3,0,1,False
Marcantilaan,364,https://www.funda.nl/detail/koop/amsterdam/appartement-marcantilaan-364/43992273/,53,450000,8490.57,Amsterdam,Netherlands,"Marcantilaan 364, Amsterdam, Netherlands",52.3739101,4.8678657,Unknown,1 badkamer,,"Douche, toilet, en wastafel",1 woonlaag,Begane grond,CWat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht,Afgekocht tot 28-02-2035,Benedenwoning (appartement),Bestaande bouw,1984,Plat dak bedekt met bitumineuze dakbedekking,13.0,3.0,203.0,€ 450.000 kosten koper,€ 8.491,6 weken,,In overleg,"€ 120,22 per maand",C,13.0,3.0,203.0,2025-05-06,120.22,True,True,0.0,2035.0,0,0.0,,1,1,False
Wilhelminastraat,9-h,https://www.funda.nl/detail/koop/amsterdam/appartement-wilhelminastraat-9-h/43832700/,53,450000,8490.57,Amsterdam,Netherlands,"Wilhelminastraat 9-h, Amsterdam, Netherlands",52.3623468,4.8668554,amsterdam-west,1 badkamer en 1 apart toilet,,Mechanische ventilatie,1 woonlaag,Begane grond,FWat betekent dit?,,Cv-ketel en gaskachels,Elektrische boiler,Volle eigendom,,Benedenwoning (appartement),Bestaande bouw,1899,,,10.0,170.0,€ 450.000 kosten koper,€ 8.491,3 maanden,,In overleg,"€ 75,00 per maand",F,,10.0,170.0,2025-03-17,75.0,True,False,,,9999,0.0,,1,1,False
Van Hallstraat,33-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-hallstraat-33-2/43058277/,50,425000,8500.0,Amsterdam,Netherlands,"Van Hallstraat 33-2, Amsterdam, Netherlands",52.3843548,4.8701667,staatsliedenbuurt,1 badkamer,,"Frans balkon, glasvezelkabel, natuurlijke ventilatie, en TV kabel",1 woonlaag,2e woonlaag,BWat betekent dit?,"Geen spouw, HR-glas en vloerisolatie",Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning,Bestaande bouw,1907,Plat dak bedekt met bitumineuze dakbedekking,2.0,,179.0,€ 425.000 kosten koper,€ 8.500,12 juni 2025,Beschikbaar,In overleg,"€ 75,00 per maand",B,2.0,,179.0,2025-06-12,75.0,False,True,,,9999,2.0,,1,1,True
Lanseloetstraat,24-1,https://www.funda.nl/detail/koop/amsterdam/appartement-lanseloetstraat-24-1/43914902/,50,425000,8500.0,Amsterdam,Netherlands,"Lanseloetstraat 24-1, Amsterdam, Netherlands",52.377057,4.8500144,bos en lommer,1 badkamer en 1 apart toilet,,Mechanische ventilatie en natuurlijke ventilatie,1 woonlaag,1e woonlaag,Niet beschikbaar,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 15-07-2064),"€ 797,83 per jaar",Bovenwoning (appartement),Bestaande bouw,1940,Plat dak bedekt met bitumineuze dakbedekking,4.0,,174.0,€ 425.000 kosten koper,€ 8.500,4 weken,Beschikbaar,In overleg,"€ 148,84 per maand",Niet beschikbaar,4.0,,174.0,2025-05-20,148.84,False,True,797.83,,2064,1.0,,1,1,True
Orteliuskade,65-1,https://www.funda.nl/detail/koop/amsterdam/appartement-orteliuskade-65-1/43933596/,57,485000,8508.77,Amsterdam,Netherlands,"Orteliuskade 65-1, Amsterdam, Netherlands",52.369035,4.8489369,baarsjes,1 badkamer,,Mechanische ventilatie en TV kabel,1 woonlaag,2e woonlaag,DWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Portiekflat (appartement),Bestaande bouw,1939,,6.0,,151.0,€ 485.000 kosten koper,€ 8.509,2 weken,,In overleg,"€ 107,59 per maand",D,6.0,,151.0,2025-06-03,107.59,False,True,,,9999,2.0,,1,1,False
Bestevaerstraat,154-3,https://www.funda.nl/detail/koop/amsterdam/appartement-bestevaerstraat-154-3/43998954/,47,400000,8510.64,Amsterdam,Netherlands,"Bestevaerstraat 154-3, Amsterdam, Netherlands",52.3779684,4.8587713,bos en lommer,1 apart toilet,,Natuurlijke ventilatie,1 woonlaag,4e woonlaag,FWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-01-2061,Bovenwoning (appartement),Bestaande bouw,1924,,6.0,19.0,146.0,€ 400.000 kosten koper,€ 8.511,7 weken,,Per direct beschikbaar,"€ 191,92 per maand",F,6.0,19.0,146.0,2025-04-29,191.92,True,True,0.0,2061.0,0,4.0,,0,1,False
Louise De Colignystraat,40-h,https://www.funda.nl/detail/koop/amsterdam/appartement-louise-de-colignystraat-40-h/43933187/,47,400000,8510.64,Amsterdam,Netherlands,"Louise De Colignystraat 40-h, Amsterdam, Netherlands",52.3807565,4.8572685,bos en lommer,1 badkamer en 1 apart toilet,,"Frans balkon, glasvezelkabel, mechanische ventilatie, en natuurlijke ventilatie",1 woonlaag,,BWat betekent dit?,Volledig geïsoleerd,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 16-02-2066,Portiekwoning (appartement),Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,6.0,15.0,127.0,€ 400.000 kosten koper,€ 8.511,2 weken,,In overleg,,B,6.0,15.0,127.0,2025-06-03,,True,True,0.0,2066.0,0,,,1,1,False
Van Noordtkade,178,https://www.funda.nl/detail/koop/amsterdam/appartement-van-noordtkade-178/43066488/,47,400000,8510.64,Amsterdam,Netherlands,"Van Noordtkade 178, Amsterdam, Netherlands",52.389079,4.8817897,spaarndammerbuurt,1 badkamer,,Dakraam en mechanische ventilatie,1 woonlaag,5e woonlaag,CWat betekent dit?,Dubbel glas en vloerisolatie,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 15-06-2035,Bovenwoning (appartement),Bestaande bouw,1984,Plat dak bedekt met bitumineuze dakbedekking,5.0,,150.0,€ 400.000 kosten koper,€ 8.511,Vandaag,Beschikbaar,In overleg,"€ 104,56 per maand",C,5.0,,150.0,2025-06-17,104.56,False,True,0.0,2035.0,0,5.0,,1,1,True
Joan Melchior Kemperstraat,56,https://www.funda.nl/detail/koop/amsterdam/appartement-joan-melchior-kemperstraat-56/43986203/,44,375000,8522.73,Amsterdam,Netherlands,"Joan Melchior Kemperstraat 56, Amsterdam, Netherlands",52.3850283,4.8741686,staatsliedenbuurt,1 badkamer,,"Mechanische ventilatie, natuurlijke ventilatie, en TV kabel",1 woonlaag,Begane grond,CWat betekent dit?,"Dubbel glas, HR-glas en muurisolatie",Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 15-11-2055,Benedenwoning (appartement),Bestaande bouw,1905,Plat dak bedekt met bitumineuze dakbedekking,16.0,5.0,170.0,€ 375.000 kosten koper,€ 8.523,8 weken,,In overleg,"€ 162,20 per maand",C,16.0,5.0,170.0,2025-04-22,162.2,True,True,0.0,2055.0,0,0.0,,1,1,False
Van Beuningenstraat,162-3,https://www.funda.nl/detail/koop/amsterdam/appartement-van-beuningenstraat-162-3/43938461/,51,435000,8529.41,Amsterdam,Netherlands,"Van Beuningenstraat 162-3, Amsterdam, Netherlands",52.3819229,4.8730294,staatsliedenbuurt,1 badkamer,,"Mechanische ventilatie, natuurlijke ventilatie, en TV kabel",1 woonlaag,,CWat betekent dit?,"Dubbel glas, grotendeels dubbelglas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,Volle eigendom,,Tussenverdieping,Bestaande bouw,1906,,,,225.0,€ 435.000 kosten koper,€ 8.529,3 weken,Beschikbaar,In overleg,"€ 125,83 per maand",C,,,225.0,2025-05-27,125.83,False,False,,,9999,,,1,1,True
Schaepmanstraat,178-b,https://www.funda.nl/detail/koop/amsterdam/appartement-schaepmanstraat-178-b/43713851/,51,435000,8529.41,Amsterdam,Netherlands,"Schaepmanstraat 178-b, Amsterdam, Netherlands",52.3799359,4.8697622,staatsliedenbuurt,1 badkamer,,"Dakraam, mechanische ventilatie, en TV kabel",1 woonlaag,4e woonlaag,EWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning (appartement),Bestaande bouw,1917,Schilddak,5.0,,197.0,€ 435.000 kosten koper,€ 8.529,6+ maanden,,In overleg,"€ 159,00 per maand",E,5.0,,197.0,2024-12-17,159.0,False,True,,,9999,4.0,,1,1,False
Bos En Lommerplantsoen,89-m,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerplantsoen-89-m/43929596/,31,265000,8548.39,Amsterdam,Netherlands,"Bos En Lommerplantsoen 89-m, Amsterdam, Netherlands",52.3757479,4.8442235,bos en lommer,1 badkamer en 1 apart toilet,,Lift,1 woonlaag,6e woonlaag,AWat betekent dit?,,,,Gemeentelijke erfpacht (einddatum erfpacht: 30-11-2063),"€ 667,16 per jaar",Tussenverdieping (appartement),Bestaande bouw,1960,,,,85.0,€ 265.000 kosten koper,€ 8.548,3 weken,Beschikbaar,Per direct beschikbaar,"€ 151,87 per maand",A,,,85.0,2025-05-27,151.87,False,False,667.16,,2063,6.0,,1,1,True
Marieken Van Nimwegenstraat,14-2,https://www.funda.nl/detail/koop/amsterdam/appartement-marieken-van-nimwegenstraat-14-2/43914352/,52,445000,8557.69,Amsterdam,Netherlands,"Marieken Van Nimwegenstraat 14-2, Amsterdam, Netherlands",52.3769475,4.8496046,bos en lommer,1 badkamer en 1 apart toilet,,"Douche, ligbad, toilet, en wastafel",1 woonlaag,2e woonlaag,CWat betekent dit?,Dubbel glas en HR-glas,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht,Afgekocht tot 15-07-2039,Bovenwoning (appartement),Bestaande bouw,1933,Plat dak bedekt met bitumineuze dakbedekking,8.0,7.0,182.0,€ 445.000 kosten koper,€ 8.558,4 weken,,In overleg,"€ 250,00 per maand",C,8.0,7.0,182.0,2025-05-20,250.0,True,True,0.0,2039.0,0,2.0,,1,1,False
Orteliusstraat,289-3a,https://www.funda.nl/detail/koop/amsterdam/appartement-orteliusstraat-289-3a/43834003/,35,300000,8571.43,Amsterdam,Netherlands,"Orteliusstraat 289-3a, Amsterdam, Netherlands",52.372669,4.8476585,erasmusbuurt,1 badkamer,,Natuurlijke ventilatie,1 woonlaag,4e woonlaag,CWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-04-2060),"€ 1.222,00 per jaar",Tussenverdieping (appartement),Bestaande bouw,1927,,,,117.0,€ 300.000 kosten koper,€ 8.571,3 maanden,,Per direct beschikbaar,"€ 87,00 per maand",C,,,117.0,2025-03-17,87.0,False,False,1222.0,,2060,4.0,,1,1,False
Geuzenkade,78-1,https://www.funda.nl/detail/koop/amsterdam/appartement-geuzenkade-78-1/43927128/,49,420000,8571.43,Amsterdam,Netherlands,"Geuzenkade 78-1, Amsterdam, Netherlands",52.3745497,4.8641278,erasmusbuurt,1 badkamer en 1 apart toilet,,TV kabel,1 woonlaag,4e woonlaag,Niet verplicht,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijke erfpacht (einddatum erfpacht: 01-09-2058),Afgekocht tot 01-09-2058,Bovenwoning (appartement),Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,5.0,11.0,161.0,€ 420.000 kosten koper,€ 8.571,4 weken,Beschikbaar,In overleg,"€ 126,07 per maand",Niet verplicht,5.0,11.0,161.0,2025-05-20,126.07,True,True,0.0,2058.0,2058,4.0,,1,1,True
