full_address_processed,latitude,longitude
Torenmeesterstraat 22 Zwolle,52.5309255,6.0669627
Wethouder Insingerstraat 15 Amsterdam,52.2921593,4.9862441
Chagallweg 77 Almere,52.3755116,5.2718962
Gemaalpad 3 Zwolle,52.5255662,6.0639234
Westerdoksdijk 433 Amsterdam,52.3855485,4.8929052
Ondernemingsweg 4 Dronten,52.535215,5.7320368
Marktgracht 134 Almere,52.3360826,5.218311
Marktgracht 132 Almere,52.3360826,5.218311
Burgemeester Van Leeuwenlaan 162 Amsterdam,52.3817232,4.8139294
IJburglaan 449 Amsterdam,52.3620561,4.9833371
Wijnkopersgilde 14 Dronten,52.537219,5.6921571
Winthontstraat 1-P450 Amsterdam,,
Winthontstraat 1 Amsterdam,52.3842956,4.8920528
Katwoudestraat 1 Lelystad,52.4971374,5.4090229
Assendorperstraat 194-B Zwolle,52.5029874,6.1052889
Johan van der Keukenstraat 104 0-ong Amsterdam,,
De Helling 9-E Dronten,52.526033,5.7183349
De Haflinger 28 Dronten,52.5123944,5.7103074
Kuiperstraat 3-C Dronten,52.526354,5.7227059
Kuiperstraat 3-A Dronten,52.5264075,5.722718
Binnen Brouwersstraat 27 Amsterdam,52.3799755,4.8906323
De Oeverloper 177-C Dronten,52.5288714,5.7252675
Palestrinalaan 150 Zwolle,52.5300145,6.0857217
Praetoriusstraat 70 Zwolle,52.529909,6.0853574
Diezerplein 1-C Zwolle,52.5155983,6.1006016
Assendorperstraat 189-A Zwolle,52.5025528,6.1061715
Zeilenmakersgilde 2 Dronten,52.538138,5.6922785
Assendorperstraat 194-C Zwolle,52.5029675,6.105328
De Ruyterstraat 12-A Zwolle,52.5128891,6.1097538
Assendorperstraat 194-A Zwolle,52.5030021,6.105351
Dukaat 111 Dronten,52.5305781,5.7027775
De Pionier 34 Dronten,52.5327281,5.7216624
Diezerplein 1-D Zwolle,52.5156021,6.1005605
Diezerplein 1-B Zwolle,52.5154633,6.1007401
Assendorperstraat 12-A Zwolle,52.5082992,6.0981676
De Ruyterstraat 12 Zwolle,52.512866,6.1098023
Beethovenlaan 231 Zwolle,52.5287796,6.0807369
Palestrinalaan 116 Zwolle,52.5296505,6.080027
Scarlattistraat 82 Zwolle,52.5290115,6.0798113
Zuidersluisweg 69-A Lelystad,52.4982517,5.443944
Esdoornlaan 6 Abbekerk,52.7322007,5.0230019
Oosterblokker 23 Oosterblokker,52.6654573,5.1109016
Burgemeester de Geusstraat 4 Zuidoostbeemster,52.5160288,4.9439201
Westervenne 225 Purmerend,52.5251054,4.9633406
Grote Noord 104 Hoorn,52.6417256,5.0557819
Stekeldijk 87 Purmerend,52.5120476,4.9721124
De Kuilweg 13 Wijdewormer,52.508419,4.9148168
Nijlstraat 114 Purmerend,52.4924472,4.9351458
De Dreef 3B030 Opmeer,52.7054817,4.9591952
J.P. Grootstraat 3 Purmerend,52.5066499,4.9683337
Mercuriusweg 19 Purmerend,52.5067416,4.9649021
Groene Steen 8 Hoorn,52.6575871,5.1019229
Van IJsendijkstraat 89 Purmerend,52.5128727,4.9632809
Clara Visserstraat 124 Purmerend,52.4934023,4.9635575
Lange Vonder 229 Amsterdam,52.421523,4.895886
Burgemeester D. Kooimanweg 555 Purmerend,52.5238932,4.9567775
Zuivelhof 12 Warder,52.5683067,5.0189276
Woestijnstraat 4 Purmerend,52.4921087,4.9359085
Bandijk 101 Purmerend,52.5116866,4.990312
De Traanbok 1 Bovenkarspel,52.6953783,5.253915
President Brandstraat 43 Amsterdam,52.354246,4.9176348
