street,lat,lon,neighborhood,district,city,postcode,display_name
Bosscherweg,,,,,,,
Botterboulevard,,,,,,,
Brede Hilledijk,,,,,,,
Burgemeester van Stamplein,,,,,,,
C.T. Storklaan,,,,,,,
Chiosdreef,,,,,,,
De Cassij,,,,,,,
De Halte,,,,,,,
De Pauselijke Staten,,,,,,,
De Regent,,,,,,,
De Tuier,,,,,,,
Dr. Vlimmenstraat,,,,,,,
Faunalaan,,,,,,,
Flowcoatstraat,,,,,,,
Fontainebleaulaan,,,,,,,
Frits Philipslaan,,,,,,,
Gaaibank,,,,,,,
Gagelboschplein,,,,,,,
Gagelstraat,,,,,,,
Gashouder,,,,,,,
Goedhartdonk,,,,,,,
Haagdijk,,,,,,,
Hanoistraat,,,,,,,
Haya van Somerenlaan,,,,,,,
Hesseplaats,,,,,,,
Hoflaan,,,,,,,
Hofplein,,,,,,,
Hoola van Nootenstraat,,,,,,,
Inktzwam,,,,,,,
J. Kruijverstraat,,,,,,,
Jan Teulingslaan,,,,,,,
Jan Weilandlaan,,,,,,,
Jan Wolkerslaan,,,,,,,
Ketelbuter,,,,,,,
Klemvogel,,,,,,,
Koetsierwei,,,,,,,
Kohnstammlaan,,,,,,,
Koningsplein flat,,,,,,,
Kopermolen,,,,,,,
Kruisplein,,,,,,,
Laan door de Veste,,,,,,,
Lapis Lazuli,,,,,,,
Lichtstraat,,,,,,,
Louis Pasteurstraat,,,,,,,
Maasdijk,,,,,,,
Maashavenweg,,,,,,,
Magazijnstraat,,,,,,,
Maria Stuartplein,,,,,,,
Max Euwestraat,,,,,,,
Meerkoet,,,,,,,
Meerwater,,,,,,,
Missouri,,,,,,,
Niagara,,,,,,,
Olivierdreef,,,,,,,
Olof Palmeborg,,,,,,,
Omegaplantsoen,,,,,,,
Overkampweg,,,,,,,
Paardenkamp,,,,,,,
Philitelaan,,,,,,,
Pim Mulierlaan,,,,,,,
Reinoutdreef,,,,,,,
Residentieplein,,,,,,,
Rio Grande,,,,,,,
S. Lootsmastraat,,,,,,,
Stationslaan,,,,,,,
Stoomstraat,,,,,,,
Tovermolen,,,,,,,
Treurenburgstraat,,,,,,,
Tureluurweg,,,,,,,
Van Eesterenplein,,,,,,,
Veldhovenring,,,,,,,
Vergulden Wagen,,,,,,,
Vijfharingenstraat,,,,,,,
Vlasserwei,,,,,,,
Vluttersven,,,,,,,
Vrijkensven,,,,,,,
Waterfront,,,,,,,
Welschapsedijk,,,,,,,
Wielstraat,,,,,,,
Willemstraat,,,,,,,
Zeezigt,,,,,,,
Zilverschoonlaan,,,,,,,
Zwanenwater,,,,,,,
de Logger,,,,,,,
het Jacht,,,,,,,
van Graftstraat,,,,,,,
Amstelvlietstraat,52.3380642,4.9205778,Oost,Amsterdam,North Holland,1096 GG,"1, Amstelvlietstraat, Oost, Amsterdam, North Holland, Netherlands, 1096 GG, Netherlands"
Andreasplein,52.3567561,4.8465904,Overtoomse Veld,Nieuw-West,Amsterdam,1058 GD,"1, Andreasplein, Overtoomse Veld, Nieuw-West, Amsterdam, North Holland, Netherlands, 1058 GD, Netherlands"
Bartholomeus Diazstraat,52.3702325,4.8553685,Hoofdweg,West,Amsterdam,1057 SZ,"1, Bartholomeus Diazstraat, Hoofdweg, West, Amsterdam, North Holland, Netherlands, 1057 SZ, Netherlands"
Batteryparkstraat,52.3875588,4.9029734,Noord,Amsterdam,North Holland,1031 KB,"Batteryparkstraat, Overhoeks, Noord, Amsterdam, North Holland, Netherlands, 1031 KB, Netherlands"
Borssenburgplein,52.3485665,4.9066142,IJselbuurt,Zuid,Amsterdam,1078 TZ,"16-1, Borssenburgplein, IJselbuurt, Zuid, Amsterdam, North Holland, Netherlands, 1078 TZ, Netherlands"
Buikslotermeerplein,52.3998269,4.9349016,Winkelcentrum Boven 't IJ,Noord,Amsterdam,1025 ES,"1, Buikslotermeerplein, Winkelcentrum Boven 't IJ, Noord, Amsterdam, North Holland, Netherlands, 1025 ES, Netherlands"
Buyskade,52.3772874,4.8710425,West,Amsterdam,North Holland,1051 MD,"Buyskade, Staatsliedenbuurt, West, Amsterdam, North Holland, Netherlands, 1051 MD, Netherlands"
Carolina MacGillavrylaan,52.357942,4.9412187,Amsterdam,North Holland,Netherlands,1095 JH,"Carolina MacGillavrylaan, Oost, Amsterdam, North Holland, Netherlands, 1095 JH, Netherlands"
Davisstraat,52.3660151,4.856902,Hoofdweg,West,Amsterdam,1057 TK,"12-1, Davisstraat, Hoofdweg, West, Amsterdam, North Holland, Netherlands, 1057 TK, Netherlands"
Delflandplein,52.3494857,4.8408816,Nieuw-West,Amsterdam,North Holland,1062 HP,"1, Delflandplein, Nieuw-West, Amsterdam, North Holland, Netherlands, 1062 HP, Netherlands"
Dusartstraat,52.3529792,4.8891584,De Pijp,Zuid,Amsterdam,1072 HL,"1, Dusartstraat, De Pijp, Zuid, Amsterdam, North Holland, Netherlands, 1072 HL, Netherlands"
Eengezinswoning Koningin Wilhelminaplein,,,,,,,
Elzenhagensingel,52.3992029,4.9265297,Noord,Amsterdam,North Holland,1025 WK,"Elzenhagensingel, Startblok Elzenhagen, Noord, Amsterdam, North Holland, Netherlands, 1025 WK, Netherlands"
