python_file,url,full_adres,city,price,area,num_rooms,available
deruyter.py,https://deruytermakelaardij.nl/properties/84-Appartement-3-Rooms-1-Bathroom-EUR325000/,"Veldzicht 85, Amsterdam",Amsterdam,325000.0,62.0,3.0,Verkocht
deruyter.py,https://deruytermakelaardij.nl/properties/83-Appartement-4-Rooms-1-Bathroom-EUR245000/,"Kervelstraat 80, Krommenie",Krommenie,245000.0,74.0,4.0,Onder bod
dkgmakelaar.py,https://www.dkgmakelaars.nl/aanbod/woningaanbod/amsterdam/koop/huis-8860789-Cornelis-van-Rijplantsoen-25/,Cornelis van Rijplantsoen 25 in Amsterdam,Amsterdam,480000.0,1063.0,,Onder bod
dkgmakelaar.py,https://www.dkgmakelaars.nl/aanbod/woningaanbod/amsterdam/koop/huis-8773029-Van-Beuningenstraat-1443/,Van Beuningenstraat 144 3 in Amsterdam,Amsterdam,435000.0,,,Verkocht
dkgmakelaar.py,https://www.dkgmakelaars.nl/aanbod/woningaanbod/amsterdam/koop/huis-6557927-Swammerdamstraat-664/,Swammerdamstraat 66 4 in Amsterdam,Amsterdam,525000.0,,,Verkocht
dkgmakelaar.py,https://www.dkgmakelaars.nl/aanbod/woningaanbod/amsterdam/koop/huis-4923008-Lindengracht-168II/,Lindengracht 168 II in Amsterdam,Amsterdam,450000.0,,,Verkocht
dkgmakelaar.py,https://www.dkgmakelaars.nl/aanbod/woningaanbod/amsterdam/koop/huis-4545656-Amsteldijk-13hs/,Amsteldijk 13 hs in Amsterdam,Amsterdam,2395000.0,,,Verkocht
doeksen.py,https://www.doeksenklein.nl/bos-en-lommerplantsoen-101p-amsterdam-9373065e657a5cc7674a94bed0bc3c4dbe2969,Bos en Lommerplantsoen 101P in Amsterdam,Amsterdam,,30.0,1.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/nicolaas-anslijnstraat-104d-amsterdam-937306bd120455b4684ea1aa4f75803a4a7f52,Nicolaas Anslijnstraat 104D in Amsterdam,Amsterdam,,40.0,2.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/hildo-kropplein-118-amsterdam-937306be671a2a10114c2ea95261aa6355fb5a,Hildo Kropplein 118 in Amsterdam,Amsterdam,,52.0,2.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/weesperzijde-45-2-amsterdam-937306f8f4f0d94b26401bb9aab172e1a08965,Weesperzijde 45-2 in Amsterdam,Amsterdam,,68.0,2.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/ella-fitzgeraldstraat-5-amsterdam-93730617de2da968dc4412ba2cefe2c033a09c,Ella Fitzgeraldstraat 5 in Amsterdam,Amsterdam,,294.0,9.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/valeriusstraat-59-2-amsterdam-937306b86d4662bca2441788848c4715550394,Valeriusstraat 59-2 in Amsterdam,Amsterdam,,138.0,5.0,Onder bod
doeksen.py,https://www.doeksenklein.nl/rijnstraat-4-2-amsterdam-937306c0b96510f55442579de418f22ec0c5f4,Rijnstraat 4-2 in Amsterdam,Amsterdam,,53.0,3.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/jennerstraat-23-amsterdam-93730664e3809606734afa8ef6449f94ee45c9,Jennerstraat 23 in Amsterdam,Amsterdam,,84.0,3.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/frans-halsstraat-87d-amsterdam-937306e72efc335ef344f896fa51b35e464013,Frans Halsstraat 87D in Amsterdam,Amsterdam,,58.0,3.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/joan-melchior-kemperstraat-105-1-amsterdam-93730697556583959e431c9e0aaa689778d5b0,Joan Melchior Kemperstraat 105-1 in Amsterdam,Amsterdam,,47.0,1.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/hildo-kropplein-69-amsterdam-937306cd23741c9aee4903a951fe92ac8d7138,Hildo Kropplein 69 in Amsterdam,Amsterdam,,54.0,2.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/van-beuningenstraat-184d-amsterdam-937306ecee4fc98207456bab61e4c94bbc16f5,Van Beuningenstraat 184D in Amsterdam,Amsterdam,,84.0,3.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/bilderdijkkade-64-1-amsterdam-937306e5f6d348d90f4383a723b2df1097be95,Bilderdijkkade 64-1 in Amsterdam,Amsterdam,,44.0,2.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/jacob-van-lennepkade-44-1-amsterdam-937306ee082aaf96824f0e96a2d16a64478c04,Jacob van Lennepkade 44-1 in Amsterdam,Amsterdam,,39.0,2.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/saenredamstraat-17-2-amsterdam-93730685bfb14b65d84c5e8ce168b4714f96ca,Saenredamstraat 17-2 in Amsterdam,Amsterdam,,40.0,2.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/kattengat-2b-amsterdam-9373064a94d636ccaa4fb8b80c33903bbd4dac,Kattengat 2B in Amsterdam,Amsterdam,,70.0,2.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/spaarndammerstraat-616a-amsterdam-937306ceb23033d1d544cbac9f59a29e8b023b,Spaarndammerstraat 616A in Amsterdam,Amsterdam,,82.0,3.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/balthasar-floriszstraat-13-2-amsterdam-937306ee9bb648b0e44feb982b32c562510764,Balthasar Floriszstraat 13-2 in Amsterdam,Amsterdam,,50.0,2.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/weesperzijde-44-2-amsterdam-937306033f7ee1ad7a462a98189af7ea907279,Weesperzijde 44-2 in Amsterdam,Amsterdam,,55.0,2.0,Verkocht
doeksen.py,https://www.doeksenklein.nl/antillenstraat-3-1-amsterdam-937306f8b3528f44364de6b6fcb77152661d09,Antillenstraat 3-1 in Amsterdam,Amsterdam,,53.0,3.0,Verkocht
edens.py,https://www.edensmakelaardij.nl/aanbod/woningaanbod/amsterdam/koop/huis-9048936-Admiralengracht-142H/,Admiralengracht 142 H in Amsterdam 1057 GG,Amsterdam,675000.0,81.0,3.0,Beschikbaar
edens.py,https://www.edensmakelaardij.nl/aanbod/woningaanbod/amsterdam/koop/huis-9129270-Blasiusstraat-502/,Blasiusstraat 50 2 in Amsterdam 1091 CT,Amsterdam,790000.0,86.0,4.0,Beschikbaar
edens.py,https://www.edensmakelaardij.nl/aanbod/woningaanbod/amsterdam/koop/huis-8474803-Admiralengracht-381/,Admiralengracht 38 1 in Amsterdam 1057 EZ,Amsterdam,600000.0,76.0,3.0,Beschikbaar
edens.py,https://www.edensmakelaardij.nl/aanbod/woningaanbod/amsterdam/koop/huis-8979903-Kromme-Leimuidenstraat-142/,Kromme Leimuidenstraat 14 2 in Amsterdam 1059 EN,Amsterdam,520000.0,62.0,3.0,Beschikbaar
edens.py,https://www.edensmakelaardij.nl/aanbod/woningaanbod/amsterdam/koop/huis-8963359-Rombout-Hogerbeetsstraat-18H/,Rombout Hogerbeetsstraat 18 H in Amsterdam 1052 XC,Amsterdam,460000.0,49.0,3.0,Onder bod
edens.py,https://www.edensmakelaardij.nl/aanbod/woningaanbod/amsterdam/koop/huis-6400868-Bilderdijkstraat-1773V/,Bilderdijkstraat 177 3V in Amsterdam 1053 KR,Amsterdam,300000.0,31.0,2.0,Onder bod
edens.py,https://www.edensmakelaardij.nl/aanbod/woningaanbod/amsterdam/koop/huis-7578799-Sassenheimstraat-57H/,Sassenheimstraat 57 H in Amsterdam 1059 BD,Amsterdam,580000.0,77.0,2.0,Onder bod
edens.py,https://www.edensmakelaardij.nl/aanbod/woningaanbod/amsterdam/koop/huis-8982745-Rutherfordstraat-51/,Rutherfordstraat 5 1 in Amsterdam 1098 TM,Amsterdam,540000.0,69.0,4.0,Verkocht
edens.py,https://www.edensmakelaardij.nl/aanbod/woningaanbod/amsterdam/koop/huis-6711606-Gibraltarstraat-651/,Gibraltarstraat 65 1 in Amsterdam 1055 NK,Amsterdam,450000.0,56.0,3.0,Verkocht
edens.py,https://www.edensmakelaardij.nl/aanbod/woningaanbod/amsterdam/koop/huis-8826547-Nieuwe-Prinsengracht-106H/,Nieuwe Prinsengracht 106 H in Amsterdam 1018 VX,Amsterdam,975000.0,119.0,4.0,Verkocht
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-rosy-wertheimstraat-39/,Rosy Wertheimstraat 39,1082 MZ AMSTERDAM,835000.0,82.0,2.0,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-middenweg-113c-2/,Middenweg 113C 2,1098 AJ AMSTERDAM,1240000.0,135.0,4.0,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-schubertstraat-74/,Schubertstraat 74,1077 GX AMSTERDAM,2975000.0,276.0,6.0,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-valkenburgerstraat-136e/,Valkenburgerstraat 136E,1011 NA AMSTERDAM,395000.0,93.0,2.0,Onder bod
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-plantage-middenlaan-88o/,Plantage Middenlaan 88O,1018 DJ AMSTERDAM,1275000.0,133.0,3.0,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-amstelveenseweg-577/,Amstelveenseweg 577,1081 JC AMSTERDAM,1025000.0,158.0,5.0,Beschikbaar
eefjevoogd.py,https://www.eefjevoogd.nl/nl/woning/amsterdam-hiraistraat-5b-178/,Hiraistraat 5B 178,1101 DA AMSTERDAM,1500000.0,176.0,3.0,Beschikbaar
