python_file,url,full_adres,city,price,area,num_rooms,available,street,number_extension,full_address_processed,full_address_streets,latitude,longitude
aemestelle.py,https://www.aemestelle.nl/contact/,,Amsterdam,,,,Beschikbaar,,,Amsterdam,Amsterdam,52.3730796,4.8924534
aemestelle.py,https://www.aemestelle.nl/woningen/geuzenkade-78-1-amsterdam-93735044b30f9a680a4c4dad8b14b8312e7f3d/,Geuzenkade 78 1 in Amsterdam,Amsterdam,,49.0,2.0,Beschikbaar,Geuzenkade,78 1,Geuzenkade 78 1 Amsterdam,Geuzenkade Amsterdam,52.3745497,4.8641278
aemestelle.py,https://hunzestraat115-2amsterdam.nl,Hunzestraat 115 2 in Amsterdam,Amsterdam,,85.0,4.0,Beschikbaar,Hunzestraat,115 2,Hunzestraat 115 2 Amsterdam,Hunzestraat Amsterdam,52.3413964,4.9049017
aemestelle.py,https://grasweg249amsterdam.nl,Grasweg 249 in Amsterdam,Amsterdam,,170.0,2.0,Beschikbaar,Grasweg,249,Grasweg 249 Amsterdam,Grasweg Amsterdam,52.3884906,4.903783
aemestelle.py,https://nieuwendammerdijk417amsterdam.nl,Nieuwendammerdijk 417 in Amsterdam,Amsterdam,,212.0,5.0,Beschikbaar,Nieuwendammerdijk,417,Nieuwendammerdijk 417 Amsterdam,Nieuwendammerdijk Amsterdam,52.3895434,4.9439968
aemestelle.py,https://www.aemestelle.nl/woningen/geldersekade-37-1-amsterdam-9373505c42e247d1b14ca9ac1d16cbddb39677/,Geldersekade 37 1 in Amsterdam,Amsterdam,,115.0,4.0,Beschikbaar,Geldersekade,37 1,Geldersekade 37 1 Amsterdam,Geldersekade Amsterdam,52.3753595,4.9023588
aemestelle.py,https://www.aemestelle.nl/woningen/singel-463-a-amsterdam-937350fef99baa74294f3aab78c30cf33846cf/,Singel 463 A in Amsterdam,Amsterdam,,86.0,3.0,Beschikbaar,Singel,463 A,Singel 463 A Amsterdam,Singel Amsterdam,52.3671725,4.8917006
aemestelle.py,https://www.aemestelle.nl/woningen/amstelkade-88-3-amsterdam-937350e6433e5479c94a34998801bf2ab2d4e8/,Amstelkade 88 3 in Amsterdam,Amsterdam,,62.0,3.0,Beschikbaar,Amstelkade,88 3,Amstelkade 88 3 Amsterdam,Amstelkade Amsterdam,52.3478275,4.8974199
aemestelle.py,https://www.aemestelle.nl/woningen/kinkerstraat-59-1a-amsterdam-937350299a1bf2274241a3876fc9ebcf1ec9cd/,Kinkerstraat 59 1A in Amsterdam,Amsterdam,,30.0,2.0,Onder bod,Kinkerstraat,59 1A,Kinkerstraat 59 1A Amsterdam,Kinkerstraat Amsterdam,52.367244,4.8726418
aland.py,https://aland.nl/aanbod/amsterdam/groenlandstraat-18/,Groenlandstraat 18 Amsterdam,Amsterdam,675000.0,136.0,5.0,Verkocht,Groenlandstraat,18,Groenlandstraat 18 Amsterdam,Groenlandstraat Amsterdam,52.3470856,4.7923334
aland.py,https://aland.nl/aanbod/amsterdam/g-j-scheurleerweg-90/,G.J. Scheurleerweg 90 Amsterdam,Amsterdam,675000.0,117.0,5.0,Aangekocht,G.J. Scheurleerweg,90,G.J. Scheurleerweg 90 Amsterdam,G.J. Scheurleerweg Amsterdam,52.4063905,4.9307906
aland.py,https://aland.nl/aanbod/amsterdam/jan-mankesstraat-16/,Jan Mankesstraat 16 Amsterdam,Amsterdam,795000.0,141.0,5.0,Beschikbaar,Jan Mankesstraat,16,Jan Mankesstraat 16 Amsterdam,Jan Mankesstraat Amsterdam,52.3647425,4.8379922
aland.py,https://aland.nl/aanbod/amsterdam/maaseikstaat-28/,Maaseikstaat 28 Amsterdam,Amsterdam,525000.0,91.0,4.0,Verkocht,Maaseikstaat,28,Maaseikstaat 28 Amsterdam,Maaseikstaat Amsterdam,,
aland.py,https://aland.nl/aanbod/amsterdam/empangeni-27/,Empangeni 27 Amsterdam,Amsterdam,570000.0,129.0,5.0,Verkocht,Empangeni,27,Empangeni 27 Amsterdam,Empangeni Amsterdam,52.3237905,4.9639417
amstel_properties.py,https://amstel-property.com/woningen/wedderborg-22-amsterdam-9074382356621758604029b2de55830ec703f6/,Wedderborg 22 in Amsterdam,Amsterdam,450000.0,68.0,4.0,Beschikbaar,Wedderborg,22,Wedderborg 22 Amsterdam,Wedderborg Amsterdam,52.3341624,4.8731865
amstel_properties.py,https://amstel-property.com/woningen/joris-ivensplein-114-e-amsterdam-90743814e08a09190c4a96a57d0bd078aa5175/,Joris Ivensplein 114 E in Amsterdam,Amsterdam,,28.0,1.0,Onder bod,Joris Ivensplein,114 E,Joris Ivensplein 114 E Amsterdam,Joris Ivensplein Amsterdam,52.3583402,4.9913415
amstel_properties.py,https://amstel-property.com/woningen/pretoriusstraat-91-1-amsterdam-907438f903041a7ed9468bba996079719c7274/,Pretoriusstraat 91 1 in Amsterdam,Amsterdam,,64.0,3.0,Verkocht,Pretoriusstraat,91 1,Pretoriusstraat 91 1 Amsterdam,Pretoriusstraat Amsterdam,52.3543485,4.9208189
