full_address_processed,latitude,longitude
Mandarijnenstraat 14 1 Amsterdam,52.4097006,4.8956194
Burgemeester Cramergracht 58 Amsterdam,52.3729941,4.8323833
Vurehout 269 Zaandam,52.4415747,4.8110643
Juffer Marthastraat 2 Warffum,53.395898,6.5604431
Chestertonlaan 215 – Amsterdam,52.3241626,4.9477004
Van Nijenrodeweg 226 – Amsterdam,52.3275546,4.8790135
Albert Cuypstraat 153B – Amsterdam,52.3556899,4.8935654
Nicolaas Anslijnstraat 37 – Amsterdam,52.3576973,4.8079863
Parelstraat 36 – Amsterdam,52.3701397,4.9207704
De Klencke 93B – Amsterdam,52.333498,4.8857386
Hoogte Kadijk 25C – Amsterdam,52.3699336,4.9141356
Laagte Kadijk 3C – Amsterdam,52.3700342,4.9123583
Geuzenstraat 41-3 – Amsterdam,52.3718644,4.8645556
Daniel Stalpertstraat 14-2 – Amsterdam,52.3562449,4.8878153
Groen van Prinstererstraat 52-3 – Amsterdam,52.3831141,4.8721488
Bolestein 310 – Amsterdam,52.3256348,4.8593058
Gerda Brautigamstraat 37 Amsterdam,52.3792185,4.7890825
Ekingenstraat 252 Amsterdam,52.3545537,4.7975763
Clauskindereweg 33 Amsterdam,52.3545331,4.7952427
Rozengracht 212 1 Amsterdam,52.3726648,4.8770723
Pieter Aertszstraat 111 3 Amsterdam,52.352931,4.9035433
Spinnekop 35 Amsterdam,52.417833,4.8909724
Pierre Cuypershof 12 Amsterdam,52.3781366,4.7973655
Antoon Keldermansstraat 34 Amsterdam,52.3832597,4.7973708
C v Vollenhovenstr 178 Amsterdam,52.379819,4.8197849
Suze Groenewegplantsoen 33 Amsterdam,52.383476,4.8102788
Langswater 320 Amsterdam,52.3554504,4.7899466
Sandinostraat 51 Amsterdam,52.3544271,4.7761473
Radarweg 420 Amsterdam,52.38671,4.8350295
Osdorper Ban 81 Amsterdam,52.3624895,4.8031668
Sam van Houtenstraat 273D Amsterdam,52.379096,4.798836
Corversbosstraat 28 Amsterdam,52.3919694,4.9602444
Rooseveltlaan 126 Amsterdam,52.3441119,4.8986499
Eemsstraat 48H Amsterdam,52.3417176,4.9087716
Sanderijnstraat 3-1 Amsterdam,52.3765576,4.8508869
Van Oldenbarneveldtstraat 35-2 Amsterdam,52.3762702,4.8752835
