full_address_processed,latitude,longitude
Van Breestraat 73 D Amsterdam,52.3563072,4.8748869
Rooseveltlaan 97-1 Amsterdam,52.3438385,4.8999149
Ruysdaelstraat 49 B 5 Amsterdam,52.3538536,4.8834239
Woestduinstraat 53-1 Amsterdam,52.3531674,4.8479991
Insulindeweg 9 A Amsterdam,52.3614473,4.9327699
Karthuizersstraat 22 Amsterdam,52.3789116,4.881333
Graaf Florisstraat 15-3 Amsterdam,52.3524268,4.9121644
Kinkerstraat 284 H Amsterdam,52.3652747,4.8641487
Duinkersoord 29 A Vlieland,53.3031756,5.0520415
Nieuwe Spiegelstraat 46 H Amsterdam,52.3636068,4.888729
Staalkade 4 A Amsterdam,52.3677641,4.8978021
Staalkade 4 B Amsterdam,52.3677643,4.8978021
Zeeweg 124 Overveen,52.4012714,4.5434507
Pandorinastraat 2 Amsterdam 1035 VR,52.4185949,4.9013271
Ridderspoorweg 70 Amsterdam 1032 LL,52.3964758,4.9043607
Aurikelstraat 7 Amsterdam 1032 AP,52.395695,4.9170636
Gedempte Insteekhaven 21 Amsterdam 1021 PM,52.3835134,4.916238
Wognumerstraat 44 Amsterdam 1023 CK,52.3887036,4.9477657
Van Noordtkade 30 E Amsterdam 1013 BZ,52.3888702,4.883511
Begoniastraat 29 A Amsterdam 1031 GL,52.3877494,4.9100382
Ibrahim Moustafapad 13 Amsterdam 1034 WD,52.4040621,4.9169748
Sneeuwbalstraat 84 Amsterdam 1032 HB,52.3982649,4.9169334
Latherusstraat 98 Amsterdam 1032 EE,52.394978,4.9153081
Nigellestraat 96 Amsterdam 1032 BR,52.3970122,4.9160505
Hoopende Swaen 20 Amsterdam 1035 RT,52.4185756,4.8993051
Nieuwendammerdijk 425 Amsterdam 1023 BM,52.3894095,4.9442332
Poolsterstraat 2 Amsterdam 1033 CE,52.4141485,4.8932184
Sandwijk 55 Amsterdam 1035 LA,52.4206899,4.8950124
