street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon
Juliana Van Stolbergstraat,56-2,https://www.funda.nl/detail/koop/amsterdam/appartement-juliana-van-stolbergstraat-56-2/43937588/,53,415000.0,7830.19,Amsterdam,Netherlands,"Juliana Van Stolbergstraat 56-2, Amsterdam, Netherlands",52.3809767,4.8562088
Nassaukade,153-e,https://www.funda.nl/detail/koop/amsterdam/appartement-nassaukade-153-e/43935347/,28,350000.0,12500.0,Amsterdam,Netherlands,"Nassaukade 153-e, Amsterdam, Netherlands",52.3714726,4.8740142
Hoofdweg,371-3,https://www.funda.nl/detail/koop/amsterdam/appartement-hoofdweg-371-3/43935379/,57,450000.0,7894.74,Amsterdam,Netherlands,"Hoofdweg 371-3, Amsterdam, Netherlands",52.3716693,4.8491541
Lange Leidsedwarsstraat,25-2,https://www.funda.nl/detail/koop/amsterdam/appartement-lange-leidsedwarsstraat-25-2/43923689/,42,375000.0,8928.57,Amsterdam,Netherlands,"Lange Leidsedwarsstraat 25-2, Amsterdam, Netherlands",52.364319,4.8842009
Jan Evertsenstraat,571,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-evertsenstraat-571/43920192/,45,370000.0,8222.22,Amsterdam,Netherlands,"Jan Evertsenstraat 571, Amsterdam, Netherlands",52.3695257,4.83645
Crynssenstraat,41-2,https://www.funda.nl/detail/koop/amsterdam/appartement-crynssenstraat-41-2/43920071/,50,465000.0,9300.0,Amsterdam,Netherlands,"Crynssenstraat 41-2, Amsterdam, Netherlands",52.3627127,4.856031
Esmoreitstraat,31-3,https://www.funda.nl/detail/koop/amsterdam/appartement-esmoreitstraat-31-3/43929907/,66,500000.0,7575.76,Amsterdam,Netherlands,"Esmoreitstraat 31-3, Amsterdam, Netherlands",52.3776023,4.8513585
Spaarndammerstraat,45-4,https://www.funda.nl/detail/koop/amsterdam/appartement-spaarndammerstraat-45-4/43929542/,56,475000.0,8482.14,Amsterdam,Netherlands,"Spaarndammerstraat 45-4, Amsterdam, Netherlands",52.3888729,4.8795793
Lutonhof,333,https://www.funda.nl/detail/koop/amsterdam/appartement-lutonhof-333/43913064/,50,400000.0,8000.0,Amsterdam,Netherlands,"Lutonhof 333, Amsterdam, Netherlands",52.3865276,4.8361233
Nachtwachtlaan,241,https://www.funda.nl/detail/koop/amsterdam/appartement-nachtwachtlaan-241/43912955/,58,415000.0,7155.17,Amsterdam,Netherlands,"Nachtwachtlaan 241, Amsterdam, Netherlands",52.362457,4.8432617
Burgemeester Cramergracht,76,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-cramergracht-76/43910089/,76,490000.0,6447.37,Amsterdam,Netherlands,"Burgemeester Cramergracht 76, Amsterdam, Netherlands",52.3731472,4.8324402
Warmondstraat,61-3,https://www.funda.nl/detail/koop/amsterdam/appartement-warmondstraat-61-3/43919298/,49,475000.0,9693.88,Amsterdam,Netherlands,"Warmondstraat 61-3, Amsterdam, Netherlands",52.3565723,4.8496021
Willem De Zwijgerlaan,334-d16,https://www.funda.nl/detail/koop/amsterdam/appartement-willem-de-zwijgerlaan-334-d16/43903014/,38,275000.0,7236.84,Amsterdam,Netherlands,"Willem De Zwijgerlaan 334-d16, Amsterdam, Netherlands",52.3810282,4.8610795
Jan Van Galenstraat,82-2,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-van-galenstraat-82-2/43903445/,51,399011.0,7823.75,Amsterdam,Netherlands,"Jan Van Galenstraat 82-2, Amsterdam, Netherlands",52.3751294,4.8610518
Lex Althoffstraat,15-h,https://www.funda.nl/detail/koop/amsterdam/appartement-lex-althoffstraat-15-h/43902966/,68,400000.0,5882.35,Amsterdam,Netherlands,"Lex Althoffstraat 15-h, Amsterdam, Netherlands",52.3792113,4.8299269
Gloriantstraat,22-1,https://www.funda.nl/detail/koop/amsterdam/appartement-gloriantstraat-22-1/43909232/,54,450000.0,8333.33,Amsterdam,Netherlands,"Gloriantstraat 22-1, Amsterdam, Netherlands",52.3794802,4.8532308
Gloriantstraat,20-1,https://www.funda.nl/detail/koop/amsterdam/appartement-gloriantstraat-20-1/43909220/,55,450000.0,8181.82,Amsterdam,Netherlands,"Gloriantstraat 20-1, Amsterdam, Netherlands",52.3793458,4.8533059
Admiraal De Ruijterweg,57-4a,https://www.funda.nl/detail/koop/amsterdam/appartement-admiraal-de-ruijterweg-57-4a/43909772/,35,435000.0,12428.57,Amsterdam,Netherlands,"Admiraal De Ruijterweg 57-4a, Amsterdam, Netherlands",52.3781651,4.8573493
Kijkduinstraat,105-3,https://www.funda.nl/detail/koop/amsterdam/appartement-kijkduinstraat-105-3/43994209/,46,375000.0,8152.17,Amsterdam,Netherlands,"Kijkduinstraat 105-3, Amsterdam, Netherlands",52.383395,4.8523901
Bos En Lommerweg,161-1,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerweg-161-1/43994864/,55,400000.0,7272.73,Amsterdam,Netherlands,"Bos En Lommerweg 161-1, Amsterdam, Netherlands",52.3811631,4.8557074
Haarlemmerweg,165-b,https://www.funda.nl/detail/koop/amsterdam/appartement-haarlemmerweg-165-b/43999611/,54,450000.0,8333.33,Amsterdam,Netherlands,"Haarlemmerweg 165-b, Amsterdam, Netherlands",52.3852725,4.8720316
De Clercqstraat,51-2,https://www.funda.nl/detail/koop/amsterdam/appartement-de-clercqstraat-51-2/43984943/,54,425000.0,7870.37,Amsterdam,Netherlands,"De Clercqstraat 51-2, Amsterdam, Netherlands",52.3708755,4.8707202
Marco Polostraat,223-3,https://www.funda.nl/detail/koop/amsterdam/appartement-marco-polostraat-223-3/43988284/,45,395000.0,8777.78,Amsterdam,Netherlands,"Marco Polostraat 223-3, Amsterdam, Netherlands",52.3711124,4.8551373
Kinkerstraat,58-c,https://www.funda.nl/detail/koop/amsterdam/appartement-kinkerstraat-58-c/43987069/,34,375000.0,11029.41,Amsterdam,Netherlands,"Kinkerstraat 58-c, Amsterdam, Netherlands",52.3676141,4.8729751
Van Hogendorpstraat,62-h,https://www.funda.nl/detail/koop/amsterdam/appartement-van-hogendorpstraat-62-h/43817983/,60,460000.0,7666.67,Amsterdam,Netherlands,"Van Hogendorpstraat 62-h, Amsterdam, Netherlands",52.3837206,4.8751233
Nassaukade,153-d,https://www.funda.nl/detail/koop/amsterdam/appartement-nassaukade-153-d/43884165/,29,349000.0,12034.48,Amsterdam,Netherlands,"Nassaukade 153-d, Amsterdam, Netherlands",52.3714718,4.8739588
Egidiusstraat,62-1,https://www.funda.nl/detail/koop/amsterdam/appartement-egidiusstraat-62-1/43065089/,61,435000.0,7131.15,Amsterdam,Netherlands,"Egidiusstraat 62-1, Amsterdam, Netherlands",52.3800565,4.8514761
Van Oldenbarneveldtstraat,40-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-oldenbarneveldtstraat-40-2/43065428/,47,425000.0,9042.55,Amsterdam,Netherlands,"Van Oldenbarneveldtstraat 40-2, Amsterdam, Netherlands",52.3763858,4.8750174
Van Houweningenstraat,74-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-houweningenstraat-74-2/43054052/,45,400000.0,8888.89,Amsterdam,Netherlands,"Van Houweningenstraat 74-2, Amsterdam, Netherlands",52.3729511,4.870505
Merlijnstraat,15-2,https://www.funda.nl/detail/koop/amsterdam/appartement-merlijnstraat-15-2/43054843/,49,400000.0,8163.27,Amsterdam,Netherlands,"Merlijnstraat 15-2, Amsterdam, Netherlands",52.3794938,4.8542589
Bos En Lommerplantsoen,105-c,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerplantsoen-105-c/43054821/,30,250000.0,8333.33,Amsterdam,Netherlands,"Bos En Lommerplantsoen 105-c, Amsterdam, Netherlands",52.3759008,4.8443762
Hertspieghelweg,78-1,https://www.funda.nl/detail/koop/amsterdam/appartement-hertspieghelweg-78-1/43054819/,65,450000.0,6923.08,Amsterdam,Netherlands,"Hertspieghelweg 78-1, Amsterdam, Netherlands",52.3817825,4.8515581
Postjeskade,35-2,https://www.funda.nl/detail/koop/amsterdam/appartement-postjeskade-35-2/43053340/,53,415000.0,7830.19,Amsterdam,Netherlands,"Postjeskade 35-2, Amsterdam, Netherlands",52.3635075,4.8549352
