location,description,availability,surface_m2,bedrooms,price,url,price_per_m2,lat,lon,date_scraped,is_new,address,neighborhood
Amsterdam,Amsterdam,Beschikbaar per 01-09-2025,115,2,2842,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18895/woning-pontsteiger-262,24.713043478260868,52.3935004,4.8858263,56:54.3,False,Pontsteiger 262,Houthaven
Amsterdam,Amsterdam,Onder optie,62,2,1396,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18647/woning-tt-vasumweg-77-b1,22.516129032258064,52.4038068,4.8947913,56:54.3,False,tt Vasumweg 77-B1,Cornelis Douwesterrein
Amsterdam,Amsterdam,Onder optie,68,2,1517,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18611/woning-kraanspoor-7-g5,22.308823529411764,52.4056223,4.8897079,56:54.3,False,Kraanspoor 7-G5,Cornelis Douwesterrein
Amsterdam,Amsterdam,Beschikbaar per 01-08-2025,57,1 slaapkamer,1375,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18550/woning-kraanspoor-3-e5,24.12280701754386,52.4056223,4.8897079,56:54.3,False,Kraanspoor 3-E5,Cornelis Douwesterrein
Amsterdam,Amsterdam,Beschikbaar per 26-07-2025,65,2,1406,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18527/woning-kraanspoor-3-n11,21.630769230769232,52.4056223,4.8897079,56:54.3,False,Kraanspoor 3-N11,Cornelis Douwesterrein
Amsterdam,Amsterdam,Onder optie,57,2,1425,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18485/woning-kraanspoor-3-t9,25.0,52.4056223,4.8897079,56:54.3,False,Kraanspoor 3-T9,Cornelis Douwesterrein
Amsterdam,Amsterdam,Beschikbaar per 01-08-2025,46,1 slaapkamer,1184,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18415/woning-kraanspoor-3-f2,25.73913043478261,52.4056223,4.8897079,56:54.3,False,Kraanspoor 3-F2,Cornelis Douwesterrein
Amsterdam,Amsterdam,Beschikbaar per 13-08-2025,80,3,1781,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18397/woning-ms-oslofjordweg-82,22.2625,52.4043207,4.8901047,56:54.3,False,ms. Oslofjordweg 82,Noord
Amsterdam,Amsterdam,Beschikbaar per 01-08-2025,107,3,2583,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18299/woning-mt-lincolnweg-14-t9,24.14018691588785,52.4048081,4.8899592,56:54.3,False,mt. Lincolnweg 14-T9,Cornelis Douwesterrein
Amsterdam,Amsterdam,Onder optie,90,3,2086,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18284/woning-mt-lincolnweg-14-s6,23.177777777777777,52.4048081,4.8899592,56:54.3,False,mt. Lincolnweg 14-S6,Cornelis Douwesterrein
Amsterdam,Amsterdam,Onder optie,61,2,1355,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18253/woning-mt-lincolnweg-14-b8,22.21311475409836,52.4048081,4.8899592,56:54.3,False,mt. Lincolnweg 14-B8,Cornelis Douwesterrein
Amsterdam,Amsterdam,Onder optie,57,2,1450,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18212/woning-mt-lincolnweg-14-l2,25.43859649122807,52.4048081,4.8899592,56:54.3,False,mt. Lincolnweg 14-L2,Cornelis Douwesterrein
Amsterdam,Amsterdam,Onder optie,51,1 slaapkamer,1315,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18192/woning-mt-lincolnweg-14-a4,25.7843137254902,52.4048081,4.8899592,56:54.3,False,mt. Lincolnweg 14-A4,Cornelis Douwesterrein
Amsterdam,Amsterdam,Beschikbaar per 01-08-2025,51,1 slaapkamer,1315,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/18188/woning-mt-lincolnweg-14-b4,25.7843137254902,52.4048081,4.8899592,56:54.3,False,mt. Lincolnweg 14-B4,Cornelis Douwesterrein
Amsterdam,Amsterdam,Onder optie,86,2,1852,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/17951/woning-ms-oslofjordweg-46,21.53488372093023,52.4043207,4.8901047,56:54.3,False,ms. Oslofjordweg 46,Noord
